LAKE NAME,Code,Latitude,Longitude,Distance,Latitude_DD,Longitude_DD
Kangula_Kunta,A21,"17°47'24.253""N","78°47'43.804""E",17.2,17.79007,78.7955
Kangula_Kunta,A22,"17°47'24.373""N","78°47'43.886""E",5.0,17.7901,78.79552
Kangula_Kunta,A23,"17°47'24.834""N","78°47'44.004""E",15.04,17.79023,78.79556
Kangula_Kunta,A24,"17°47'24.972""N","78°47'44.519""E",10.43,17.79027,78.7957
Kangula_Kunta,A25,"17°47'25.151""N","78°47'44.516""E",12.81,17.79032,78.7957
Kangula_Kunta,A26,"17°47'25.303""N","78°47'44.875""E",8.83,17.79036,78.7958
Kangula_Kunta,A27,"17°47'25.759""N","78°47'44.776""E",14.97,17.79049,78.79577
Kangula_Kunta,A28,"17°47'25.829""N","78°47'45.226""E",10.57,17.79051,78.7959
Kangula_Kunta,A29,"17°47'25.481""N","78°47'45.286""E",4.88,17.79041,78.79591
Kangula_Kunta,A30,"17°47'25.178""N","78°47'45.211""E",9.57,17.79033,78.79589
Kangula_Kunta,A31,"17°47'24.154""N","78°47'45.216""E",16.65,17.79004,78.79589
Kangula_Kunta,A32,"17°47'23.709""N","78°47'45.156""E",4.06,17.78992,78.79588
Kangula_Kunta,A33,"17°47'24.009""N","78°47'45.162""E",6.0,17.79,78.79588
Kangula_Kunta,A34,"17°47'24.352""N","78°47'45.806""E",7.41,17.7901,78.79606
Kangula_Kunta,A35,"17°47'24.382""N","78°47'46.292""E",14.0,17.79011,78.79619
Kangula_Kunta,A36,"17°47'23.877""N","78°47'46.562""E",14.05,17.78997,78.79627
Kangula_Kunta,A37,"17°47'23.669""N","78°47'46.714""E",6.57,17.78991,78.79631
Kangula_Kunta,A38,"17°47'23.669""N","78°47'46.764""E",3.67,17.78991,78.79632
Kangula_Kunta,A39,"17°47'23.060""N","78°47'47.834""E",17.47,17.78974,78.79662
Kangula_Kunta,A40,"17°47'22.709""N","78°47'47.63""E",25.7,17.78964,78.79656
Kangula_Kunta,A41,"17°47'22.497""N","78°47'47.282""E",6.0,17.78958,78.79647
Kangula_Kunta,A42,"17°47'22.35""N","78°47'49.384""E",28.26,17.78954,78.79705
Kangula_Kunta,A43,"17°47'22.35""N","78°47'49.41""E",24.26,17.78954,78.79706
Kangula_Kunta,A44,"17°47'22.35""N","78°47'50.442""E",23.73,17.78954,78.79735
Kangula_Kunta,A45,"17°47'20.153""N","78°47'50.486""E",25.74,17.78893,78.79736
Kangula_Kunta,A46,"17°47'20.25""N","78°47'51.81""E",22.49,17.78896,78.79772
Kangula_Kunta,A47,"17°47'20.88""N","78°47'51.684""E",16.4,17.78913,78.79769
Kangula_Kunta,A48,"17°47'18.791""N","78°47'51.984""E",23.33,17.78855,78.79777
Peddin_Cheruvu,A1,"78°13'35.694""E","17°5'34.080""N",0.0,17.0928,78.22658
Peddin_Cheruvu,A2,"78°13'36.387""E","17°5'33.273""N",32.2,17.09258,78.22677
Peddin_Cheruvu,A3,"78°13'37.063""E","17°5'32.682""N",27.03,17.09241,78.22696
Peddin_Cheruvu,A4,"78°13'37.558""E","17°5'32.352""N",17.8,17.09232,78.2271
Peddin_Cheruvu,A5,"78°13'38.052""E","17°5'32.023""N",17.8,17.09223,78.22724
Peddin_Cheruvu,A6,"78°13'37.988""E","17°5'31.108""N",28.19,17.09197,78.22722
Peddin_Cheruvu,A7,"78°13'38.170""E","17°5'29.993""N",34.73,17.09166,78.22727
Peddin_Cheruvu,A8,"78°13'38.944""E","17°5'29.574""N",26.27,17.09155,78.22748
Peddin_Cheruvu,A9,"78°13'40.238""E","17°5'29.319""N",39.08,17.09148,78.22784
Peddin_Cheruvu,A10,"78°13'41.291""E","17°5'29.038""N",32.35,17.0914,78.22814
Peddin_Cheruvu,A11,"78°13'42.481""E","17°5'29.090""N",35.24,17.09141,78.22847
Peddin_Cheruvu,A12,"78°13'43.768""E","17°5'29.034""N",38.1,17.0914,78.22882
Peddin_Cheruvu,A13,"78°13'44.845""E","17°5'28.915""N",32.08,17.09137,78.22912
Peddin_Cheruvu,A14,"78°13'45.339""E","17°5'29.259""N",18.06,17.09146,78.22926
Peddin_Cheruvu,A15,"78°13'45.831""E","17°5'29.737""N",20.68,17.09159,78.2294
Peddin_Cheruvu,A16,"78°13'46.207""E","17°5'30.361""N",22.17,17.09177,78.2295
Peddin_Cheruvu,A17,"78°13'46.582""E","17°5'30.985""N",22.17,17.09194,78.22961
Peddin_Cheruvu,A18,"78°13'46.558""E","17°5'31.512""N",16.23,17.09209,78.2296
Peddin_Cheruvu,A19,"78°13'46.009""E","17°5'32.031""N",16.58,17.09223,78.22945
Peddin_Cheruvu,A20,"78°13'47.068""E","17°5'32.700""N",23.17,17.09242,78.22974
Peddin_Cheruvu,A21,"78°13'47.366""E","17°5'33.225""N",17.19,17.09256,78.22982
Peddin_Cheruvu,A22,"78°13'47.542""E","17°5'33.810""N",19.73,17.09273,78.22987
Peddin_Cheruvu,A23,"78°13'47.614""E","17°5'34.273""N",14.42,17.09285,78.22989
Peddin_Cheruvu,A24,"78°13'47.654""E","17°5'35.120""N",26.07,17.09309,78.2299
Peddin_Cheruvu,A25,"78°13'47.854""E","17°5'35.817""N",22.26,17.09328,78.22996
Peddin_Cheruvu,A26,"78°13'47.930""E","17°5'36.866""N",32.33,17.09357,78.22998
Peddin_Cheruvu,A27,"78°13'48.281""E","17°5'37.989""N",36.07,17.09389,78.23008
Peddin_Cheruvu,A28,"78°13'48.621""E","17°5'38.745""N",25.41,17.0941,78.23017
Peddin_Cheruvu,A29,"78°13'49.018""E","17°5'39.402""N",23.3,17.09428,78.23028
Peddin_Cheruvu,A30,"78°13'49.060""E","17°5'40.793""N",42.78,17.09466,78.23029
Peddin_Cheruvu,A31,"78°13'48.799""E","17°5'42.139""N",26.73,17.09504,78.23022
Peddin_Cheruvu,A32,"78°13'48.640""E","17°5'43.205""N",31.89,17.09533,78.23018
Peddin_Cheruvu,A33,"78°13'48.289""E","17°5'44.427""N",38.97,17.09567,78.23008
Soora_Samudram,A1,"78°13'41.316""E","17°4'15.155""N",0.0,17.07088,78.22814
Soora_Samudram,A2,"78°13'40.880""E","17°4'14.213""N",31.74,17.07061,78.22802
Soora_Samudram,A3,"78°13'40.537""E","17°4'13.547""N",22.85,17.07043,78.22793
Soora_Samudram,A4,"78°13'39.082""E","17°4'13.039""N",22.85,17.07029,78.22752
Soora_Samudram,A5,"78°13'40.082""E","17°4'12.710""N",33.55,17.0702,78.2278
Soora_Samudram,A6,"78°13'38.291""E","17°4'12.125""N",27.65,17.07003,78.2273
Soora_Samudram,A7,"78°13'37.581""E","17°4'11.540""N",27.65,17.06987,78.22711
Soora_Samudram,A8,"78°13'37.026""E","17°4'10.882""N",26.06,17.06969,78.22695
Soora_Samudram,A9,"78°13'36.472""E","17°4'10.224""N",26.06,17.06951,78.2268
Soora_Samudram,A10,"78°13'36.060""E","17°4'9.805""N",26.65,17.06939,78.22668
Soora_Samudram,A11,"78°13'34.376""E","17°4'9.387""N",33.58,17.06927,78.22622
Soora_Samudram,A12,"78°13'32.888""E","17°4'9.676""N",44.23,17.06935,78.2258
Soora_Samudram,A13,"78°13'31.401""E","17°4'9.676""N",44.23,17.06935,78.22539
Soora_Samudram,A14,"78°13'30.271""E","17°4'10.274""N",33.55,17.06952,78.22508
Soora_Samudram,A15,"78°13'29.140""E","17°4'10.872""N",38.17,17.06969,78.22476
Soora_Samudram,A16,"78°13'28.541""E","17°4'12.502""N",38.17,17.07014,78.22459
Soora_Samudram,A17,"78°13'28.714""E","17°4'13.074""N",18.33,17.0703,78.22464
Soora_Samudram,A18,"78°13'28.810""E","17°4'13.565""N",15.37,17.07043,78.22467
